time_s,amplitude
0.000000000000000000e+00,4.967141530112326869e-03
1.000000000000000000e+00,1.717774108698399305e+00
2.000000000000000000e+00,1.641971086485284115e+00
3.000000000000000000e+00,1.556655553286455662e+00
4.000000000000000000e+00,1.428865169118542999e+00
5.000000000000000000e+00,1.288331173418832742e+00
6.000000000000000000e+00,1.072183272945341770e+00
7.000000000000000000e+00,-2.004781555941119287e+00
8.000000000000000000e+00,-1.956307326941670199e+00
9.000000000000000000e+00,-1.881291806764259222e+00
1.000000000000000000e+01,-1.822245489700284882e+00
1.100000000000000000e+01,-1.747920564856614511e+00
1.200000000000000000e+01,-1.659707935466370410e+00
1.300000000000000000e+01,-1.590820563719955949e+00
1.400000000000000000e+01,-1.484589868823395831e+00
1.500000000000000000e+01,-1.344375649382960169e+00
1.600000000000000000e+01,-1.160378771938727516e+00
1.700000000000000000e+01,2.070302467519206102e-01
1.800000000000000000e+01,1.961740213001801125e+00
1.900000000000000000e+01,1.892937444396361579e+00
2.000000000000000000e+01,1.853997011899491065e+00
2.100000000000000000e+01,1.764480457906101973e+00
2.200000000000000000e+01,1.688569962982617634e+00
2.300000000000000000e+01,1.586423326320394400e+00
2.400000000000000000e+01,1.495860407382551660e+00
2.500000000000000000e+01,1.383080667759735594e+00
2.600000000000000000e+01,1.208547157936865180e+00
2.700000000000000000e+01,8.338683056830961116e-01
2.800000000000000000e+01,-1.995724393886303405e+00
2.900000000000000000e+01,-1.929949208765999069e+00
3.000000000000000000e+01,-1.866627281729767773e+00
3.100000000000000000e+01,-1.771105155336117898e+00
3.200000000000000000e+01,-1.713018096392775913e+00
3.300000000000000000e+01,-1.639111733858418019e+00
3.400000000000000000e+01,-1.525233652780819238e+00
3.500000000000000000e+01,-1.433772846150065616e+00
3.600000000000000000e+01,-1.275288833215377338e+00
3.700000000000000000e+01,-1.044837637949938003e+00
3.800000000000000000e+01,1.994996768395603803e+00
3.900000000000000000e+01,1.948619686451483313e+00
4.000000000000000000e+01,1.888839842643473821e+00
4.100000000000000000e+01,1.813691928894354488e+00
4.200000000000000000e+01,1.736006230137266959e+00
4.300000000000000000e+01,1.652393251731756996e+00
4.400000000000000000e+01,1.549294126867913235e+00
4.500000000000000000e+01,1.451128308625867280e+00
4.600000000000000000e+01,1.322380981302472280e+00
4.700000000000000000e+01,1.139876971520094040e+00
4.800000000000000000e+01,-1.290323296091949734e+00
4.900000000000000000e+01,-1.983570693318591482e+00
5.000000000000000000e+01,-1.898654190559510013e+00
5.100000000000000000e+01,-1.837681873690646617e+00
5.200000000000000000e+01,-1.767563905440412420e+00
5.300000000000000000e+01,-1.675268328139317919e+00
5.400000000000000000e+01,-1.583064128461654452e+00
5.500000000000000000e+01,-1.483492522742044573e+00
5.600000000000000000e+01,-1.379698648101013170e+00
5.700000000000000000e+01,-1.206772156115046180e+00
5.800000000000000000e+01,-7.313937874472583589e-01
5.900000000000000000e+01,1.994668947786186086e+00
6.000000000000000000e+01,1.917166967914757825e+00
6.100000000000000000e+01,1.853358951218146533e+00
6.200000000000000000e+01,1.772765010593754464e+00
6.300000000000000000e+01,1.694604163609643610e+00
6.400000000000000000e+01,1.629634457160275218e+00
6.500000000000000000e+01,1.538957113118564424e+00
6.600000000000000000e+01,1.411016827343607671e+00
6.700000000000000000e+01,1.273624328971993513e+00
6.800000000000000000e+01,9.927997774605350489e-01
6.900000000000000000e+01,-2.010039955201982753e+00
7.000000000000000000e+01,-1.938054200112381498e+00
7.100000000000000000e+01,-1.860785535027373871e+00
7.200000000000000000e+01,-1.806672371398508004e+00
7.300000000000000000e+01,-1.715374069208623231e+00
7.400000000000000000e+01,-1.674819325792878733e+00
7.500000000000000000e+01,-1.548164554388468783e+00
7.600000000000000000e+01,-1.448293673345262045e+00
7.700000000000000000e+01,-1.317869365454866326e+00
7.800000000000000000e+01,-1.105649322411490942e+00
7.900000000000000000e+01,1.916092455250911986e+00
8.000000000000000000e+01,1.958842962364882201e+00
8.100000000000000000e+01,1.900276838129061563e+00
8.200000000000000000e+01,1.843069311129965193e+00
8.300000000000000000e+01,1.749629359172908627e+00
8.400000000000000000e+01,1.666736566955885568e+00
8.500000000000000000e+01,1.580982674821001632e+00
8.600000000000000000e+01,1.493338363338354124e+00
8.700000000000000000e+01,1.363678122344068155e+00
8.800000000000000000e+01,1.181097532141919482e+00
8.900000000000000000e+01,5.909395197093956220e-01
9.000000000000000000e+01,-1.979122716620933753e+00
9.100000000000000000e+01,-1.907178816171829272e+00
9.200000000000000000e+01,-1.856811127845118259e+00
9.300000000000000000e+01,-1.781271258924714163e+00
9.400000000000000000e+01,-1.704120329530079969e+00
9.500000000000000000e+01,-1.629054544148941241e+00
9.600000000000000000e+01,-1.514263477554736781e+00
9.700000000000000000e+01,-1.399105231943798433e+00
9.800000000000000000e+01,-1.249199895420577855e+00
9.900000000000000000e+01,-9.485349273853442842e-01
1.000000000000000000e+02,1.984690078961001358e+00
1.010000000000000000e+02,1.932454207449484596e+00
1.020000000000000000e+02,1.867421887547179304e+00
1.030000000000000000e+02,1.792591637641245406e+00
1.040000000000000000e+02,1.723220187567049644e+00
1.050000000000000000e+02,1.645822340092701674e+00
1.060000000000000000e+02,1.567461489117615958e+00
1.070000000000000000e+02,1.441590586979115685e+00
1.080000000000000000e+02,1.304975532362257162e+00
1.090000000000000000e+02,1.080855185661007134e+00
1.100000000000000000e+02,-2.030131804964652620e+00
1.110000000000000000e+02,-1.956383831527200412e+00
1.120000000000000000e+02,-1.890889491286667834e+00
1.130000000000000000e+02,-1.798086132540463122e+00
1.140000000000000000e+02,-1.750713123179712616e+00
1.150000000000000000e+02,-1.665189230086423944e+00
1.160000000000000000e+02,-1.578895626511659600e+00
1.170000000000000000e+02,-1.487121170927890867e+00
1.180000000000000000e+02,-1.337775456820523123e+00
1.190000000000000000e+02,-1.160532119343280932e+00
1.200000000000000000e+02,-3.067455614870169267e-01
1.210000000000000000e+02,1.966158301137304720e+00
1.220000000000000000e+02,1.925775365421879881e+00
1.230000000000000000e+02,1.830317416960386190e+00
1.240000000000000000e+02,1.777990477665160052e+00
1.250000000000000000e+02,1.715689118056772600e+00
1.260000000000000000e+02,1.597352942282768362e+00
1.270000000000000000e+02,1.503284355537460426e+00
1.280000000000000000e+02,1.392483017524373423e+00
1.290000000000000000e+02,1.229259834600094692e+00
1.300000000000000000e+02,8.773499920910805550e-01
1.310000000000000000e+02,-1.993391925472374648e+00
1.320000000000000000e+02,-1.942255694686623180e+00
1.330000000000000000e+02,-1.860770322478960459e+00
1.340000000000000000e+02,-1.804076760475173513e+00
1.350000000000000000e+02,-1.703103635158976781e+00
1.360000000000000000e+02,-1.642711557272558132e+00
1.370000000000000000e+02,-1.543943116085524148e+00
1.380000000000000000e+02,-1.422224555672151780e+00
1.390000000000000000e+02,-1.301822290017351280e+00
1.400000000000000000e+02,-1.051519045147040643e+00
1.410000000000000000e+02,2.025229867013068397e+00
1.420000000000000000e+02,1.935100772924471801e+00
1.430000000000000000e+02,1.888097806831376291e+00
1.440000000000000000e+02,1.819714125619338096e+00
1.450000000000000000e+02,1.750544364604365688e+00
1.460000000000000000e+02,1.649163522111565694e+00
1.470000000000000000e+02,1.557811573476062028e+00
1.480000000000000000e+02,1.471768490834358234e+00
1.490000000000000000e+02,1.340693752701065611e+00
1.500000000000000000e+02,1.150964222921387448e+00
1.510000000000000000e+02,-2.754926249649108927e-01
1.520000000000000000e+02,-1.977190757124834608e+00
1.530000000000000000e+02,-1.904282585738037437e+00
1.540000000000000000e+02,-1.835921776714896980e+00
1.550000000000000000e+02,-1.773355520352599690e+00
1.560000000000000000e+02,-1.668663552236192338e+00
1.570000000000000000e+02,-1.595288999232161276e+00
1.580000000000000000e+02,-1.512470285324587715e+00
1.590000000000000000e+02,-1.374471861335760048e+00
1.600000000000000000e+02,-1.228387374135815557e+00
1.610000000000000000e+02,-8.151355998294584904e-01
1.620000000000000000e+02,2.000878732810718486e+00
1.630000000000000000e+02,1.918375469347261220e+00
1.640000000000000000e+02,1.869769489690333186e+00
1.650000000000000000e+02,1.793244152876861675e+00
1.660000000000000000e+02,1.720547887973321144e+00
1.670000000000000000e+02,1.646882393231474451e+00
1.680000000000000000e+02,1.530295940542124811e+00
1.690000000000000000e+02,1.413163521064972228e+00
1.700000000000000000e+02,1.267281980737023916e+00
1.710000000000000000e+02,1.014111321336381044e+00
1.720000000000000000e+02,-2.008640278928518264e+00
1.730000000000000000e+02,-1.942799571045964901e+00
1.740000000000000000e+02,-1.878218773195813984e+00
1.750000000000000000e+02,-1.803207562379780748e+00
1.760000000000000000e+02,-1.736490682048214884e+00
1.770000000000000000e+02,-1.640270500520477404e+00
1.780000000000000000e+02,-1.566047981552642243e+00
1.790000000000000000e+02,-1.430319118365820596e+00
1.800000000000000000e+02,-1.319672005537522175e+00
1.810000000000000000e+02,-1.135940902121141294e+00
1.820000000000000000e+02,1.380534025111842755e+00
1.830000000000000000e+02,1.970333208760534749e+00
1.840000000000000000e+02,1.899203639703730184e+00
1.850000000000000000e+02,1.840479904952148305e+00
1.860000000000000000e+02,1.764997241338638556e+00
1.870000000000000000e+02,1.680078417531722046e+00
1.880000000000000000e+02,1.584256117573252132e+00
1.890000000000000000e+02,1.476899238017618909e+00
1.900000000000000000e+02,1.365885518301117818e+00
1.910000000000000000e+02,1.210751838336332709e+00
1.920000000000000000e+02,7.263936512004710577e-01
1.930000000000000000e+02,-1.996946201043235058e+00
1.940000000000000000e+02,-1.919777322514602869e+00
1.950000000000000000e+02,-1.850883649340401282e+00
1.960000000000000000e+02,-1.792153174394979231e+00
1.970000000000000000e+02,-1.704467132924825545e+00
1.980000000000000000e+02,-1.620303212170022045e+00
1.990000000000000000e+02,-1.536105489937677371e+00
2.000000000000000000e+02,-1.407280525355033340e+00
2.010000000000000000e+02,-1.256734372060822835e+00
2.020000000000000000e+02,-9.748599705772216240e-01
2.030000000000000000e+02,2.013707462180475360e+00
